Underlying Exposure Identifier,Loan Identifier,Unique Loan Identifier,Original Underlying Exposure Identifier,Original Obligor Identifier,New Underlying Exposure Identifier,New Obligor Identifier,Origination Dt,Maturity DATE,Original Principal Balance,Current Principal Balance GBP,Current Interest Rate,Original Loan To Value,Current Loan To Value,Current Valuation Amount,Current Valuation Date,Current Valuation Method,Post Code,Region ,Property Type ,tenure,Borrower Age (Youngest),Account Status,Redemption Date,Data Cut-Off Date,Interest Rate Type,Occupancy Type,Amortisation Type,Origination Channel,Purpose,Total Credit Limit,Number of Days in Arrears,Exposure Currency Denomination,Pool Addition Date,Date of Repurchase,Purchase Price,Arrears Balance,Default Amount,Default Date,Allocated Losses,Cumulative Recoveries,Litigation,Deposit Amount,Collateral Currency,Collateral Type,Original Collateral Identifier,New Collateral Identifier,Scheduled Principal Payment Frequency,Scheduled Interest Payment Frequency,Payment Due,Current Interest Rate Index,Current Interest Rate Index Tenor,Current Interest Rate Margin,Interest Rate Reset Interval,Interest Rate Cap,Interest Rate Floor,Prepayment Fee,Principal Grace Period End Date,Credit Impaired Obligor,Resident,Geographic Region Obligor,Employment Status
SPV1-0001,SPV1-0001,SYN-SPV1-0001,SPV1-0001,OBO-SPV1-0001,SPV1-0001-N,OBL-SPV1-0001,30/07/2024,30/07/2048,"134,134.94", £152141.21 ,6.59,0.3484,0.3774,"403,105",30/06/2026,Full survey,CF10 1EP,Wales,Flat / Apartment,Freehold,65,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"140,841.69",0,GBP,30/07/2024,,"385,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0001-COLL-O,SPV1-0001-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,Wales,Self employed
SPV1-0002,SPV1-0002,SYN-SPV1-0002,SPV1-0002,OBO-SPV1-0002,SPV1-0002-N,OBL-SPV1-0002,30/08/2021,30/08/2042,"297,780.57", £433793.71 ,7.809,0.3054,0.3962,"1,094,794",30/06/2026,Full survey,CB2 1TN,East of England,Semi Detached,Freehold,84,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Purchase Main Residence,"312,669.60",0,GBP,30/08/2021,,"975,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0002-COLL-O,SPV1-0002-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,East of England,Self employed
SPV1-0003,SPV1-0003,SYN-SPV1-0003,SPV1-0003,OBO-SPV1-0003,SPV1-0003-N,OBL-SPV1-0003,30/12/2024,30/12/2042,"79,250.83", £88437.23 ,7.334,0.3302,0.3555,"248,788",30/06/2026,Full survey,CB2 1TN,East of England,Detached House,Freehold,75,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Purchase Main Residence,"83,213.37",0,GBP,30/12/2024,,"240,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0003-COLL-O,SPV1-0003-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,East of England,Retired
SPV1-0004,SPV1-0004,SYN-SPV1-0004,SPV1-0004,OBO-SPV1-0004,SPV1-0004-N,OBL-SPV1-0004,30/04/2022,30/04/2043,"383,047.77", £524334.69 ,7.559,0.3102,0.3842,"1,364,750",30/06/2026,Full survey,M1 1AE,North West,Semi Detached,Freehold,84,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"402,200.16",0,GBP,30/04/2022,,"1,235,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0004-COLL-O,SPV1-0004-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,North West,Self employed
SPV1-0005,SPV1-0005,SYN-SPV1-0005,SPV1-0005,OBO-SPV1-0005,SPV1-0005-N,OBL-SPV1-0005,30/09/2019,30/09/2043,"182,094.34", £330313.72 ,8.855,0.3606,0.5564,"593,713",30/06/2026,Full survey,SW1A 1AA,London,Bungalow,Freehold,66,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Purchase Main Residence,"191,199.06",0,GBP,30/09/2019,,"505,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0005-COLL-O,SPV1-0005-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,London,Self employed
SPV1-0006,SPV1-0006,SYN-SPV1-0006,SPV1-0006,OBO-SPV1-0006,SPV1-0006-N,OBL-SPV1-0006,30/09/2019,30/09/2045,"341,419.43", £551269.86 ,7.119,0.2822,0.3875,"1,422,561",30/06/2026,Full survey,CF10 1EP,Wales,Detached House,LEASEHOLD,76,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Equity release,"358,490.40",0,GBP,30/09/2019,,"1,210,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0006-COLL-O,SPV1-0006-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,Wales,Retired
SPV1-0007,SPV1-0007,SYN-SPV1-0007,SPV1-0007,OBO-SPV1-0007,SPV1-0007-N,OBL-SPV1-0007,30/03/2022,30/03/2038,"181,312.53", £254920.44 ,8.044,0.459,0.5828,"437,372",30/06/2026,Full survey,M1 1AE,North West,Semi Detached,Freehold,66,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"190,378.16",0,GBP,30/03/2022,,"395,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0007-COLL-O,SPV1-0007-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,North West,Employed
SPV1-0008,SPV1-0008,SYN-SPV1-0008,SPV1-0008,OBO-SPV1-0008,SPV1-0008-N,OBL-SPV1-0008,30/10/2021,30/10/2045,"279,122.81", £392664.81 ,7.336,0.2684,0.3376,"1,163,123",,Full survey,B1 1AA,West Midlands,Semi Detached,Freehold,89,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Equity release,"293,078.95",0,GBP,30/10/2021,,"1,040,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0008-COLL-O,SPV1-0008-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,West Midlands,Retired
SPV1-0009,SPV1-0009,SYN-SPV1-0009,SPV1-0009,OBO-SPV1-0009,SPV1-0009-N,OBL-SPV1-0009,30/07/2025,30/07/2047,"155,158.94", £164644.81 ,6.491,0.4702,0.4881,"337,333",30/06/2026,Full survey,RG1 2DP,South East,Detached House,LEASEHOLD,67,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"162,916.89",0,GBP,30/07/2025,,"330,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0009-COLL-O,SPV1-0009-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,South East,Self employed
SPV1-0010,SPV1-0010,SYN-SPV1-0010,SPV1-0010,OBO-SPV1-0010,SPV1-0010-N,OBL-SPV1-0010,30/11/2020,30/11/2043,"153,663.25", £223588.03 ,6.736,0.3104,0.3951,"565,904",30/06/2026,Full survey,RG1 2DP,South East,Flat / Apartment,Freehold,65,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"161,346.41",0,GBP,30/11/2020,,"495,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0010-COLL-O,SPV1-0010-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,South East,Employed
SPV1-0011,SPV1-0011,SYN-SPV1-0011,SPV1-0011,OBO-SPV1-0011,SPV1-0011-N,OBL-SPV1-0011,30/01/2021,30/01/2036,"192,693.76", £277960.83 ,6.783,0.2773,0.3512,"791,383",30/06/2026,Full survey,B1 1AA,West Midlands,Bungalow,LEASEHOLD,86,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"202,328.45",0,GBP,30/01/2021,,"695,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0011-COLL-O,SPV1-0011-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,West Midlands,Self employed
SPV1-0012,SPV1-0012,SYN-SPV1-0012,SPV1-0012,OBO-SPV1-0012,SPV1-0012-N,OBL-SPV1-0012,30/06/2023,30/06/2047,"315,199.13", £406968.41 ,8.548,0.2563,0.3079,"1,321,731",30/06/2026,Full survey,SW1A 1AA,London,Flat / Apartment,Freehold,81,Active,,30/06/2026,Fixed,Owner Occupied,Interest roll-up,IFA,Home improvements,"330,959.09",0,GBP,30/06/2023,,"1,230,000",0,0,,0,0,N,0,GBP,residential property,SPV1-0012-COLL-O,SPV1-0012-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,30/12/2026,N,Y,London,Self employed
